timestamp,cpu_percent_1core
2026-08-14T04:01:02.000000Z,9.30
2026-08-14T04:01:17.000000Z,9.30
2026-08-14T04:01:32.000000Z,9.30
2026-08-14T04:01:47.000000Z,9.30
2026-08-14T04:02:02.000000Z,9.30
2026-08-14T04:02:17.000000Z,9.30
2026-08-14T04:02:32.000000Z,9.30
2026-08-14T04:02:47.000000Z,9.30
2026-08-14T04:03:02.000000Z,9.30
2026-08-14T04:03:17.000000Z,9.30
2026-08-14T04:03:32.000000Z,9.30
2026-08-14T04:03:47.000000Z,9.30
2026-08-14T04:04:02.000000Z,9.30
2026-08-14T04:04:17.000000Z,9.30
2026-08-14T04:04:32.000000Z,9.30
2026-08-14T04:04:47.000000Z,9.30
2026-08-14T04:05:02.000000Z,9.30
2026-08-14T04:05:17.000000Z,9.30
2026-08-14T04:05:32.000000Z,9.30
2026-08-14T04:05:47.000000Z,9.30
2026-08-14T04:06:02.000000Z,9.30
2026-08-14T04:06:17.000000Z,9.30
2026-08-14T04:06:32.000000Z,9.30
2026-08-14T04:06:47.000000Z,9.30
